team,player,track,score
6c,brody,Bowser Jr.'s Fort,12
6c,brody,Medieval Castlegrounds,4
6c,brody,Big Nature City,2
6c,brody,Fort Francis,2
6c,brody,Color Wonderland,15
6c,brody,Marble Towers,15
6c,brody,Big Express City,3
6c,brody,Flying Kingdom,15
6c,brody,Strobenz Desert Illusion,12
6c,brody,Infernal Pipeyard,8
6c,brody,GBA Bowser Castle 4,6
6c,brody,3DS Daisy Hills,12
6c,zilla,Bowser Jr.'s Fort,8
6c,zilla,Medieval Castlegrounds,8
6c,zilla,Big Nature City,6
6c,zilla,Fort Francis,3
6c,zilla,Color Wonderland,4
6c,zilla,Marble Towers,8
6c,zilla,Big Express City,15
6c,zilla,Flying Kingdom,8
6c,zilla,Strobenz Desert Illusion,15
6c,zilla,Infernal Pipeyard,12
6c,zilla,GBA Bowser Castle 4,15
6c,zilla,3DS Daisy Hills,3
6c,Ivan,Bowser Jr.'s Fort,2
6c,Ivan,Medieval Castlegrounds,15
6c,Ivan,Big Nature City,10
6c,Ivan,Fort Francis,8
6c,Ivan,Color Wonderland,3
6c,Ivan,Marble Towers,10
6c,Ivan,Big Express City,4
6c,Ivan,Flying Kingdom,10
6c,Ivan,Strobenz Desert Illusion,8
6c,Ivan,Infernal Pipeyard,3
6c,Ivan,GBA Bowser Castle 4,2
6c,Ivan,3DS Daisy Hills,6
6c,Stubbz,Bowser Jr.'s Fort,10
6c,Stubbz,Medieval Castlegrounds,10
6c,Stubbz,Big Nature City,8
6c,Stubbz,Fort Francis,4
6c,Stubbz,Color Wonderland,6
6c,Stubbz,Marble Towers,6
6c,Stubbz,Big Express City,8
6c,Stubbz,Flying Kingdom,3
6c,Stubbz,Strobenz Desert Illusion,6
6c,Stubbz,Infernal Pipeyard,6
6c,Stubbz,GBA Bowser Castle 4,3
6c,Stubbz,3DS Daisy Hills,8
6c,Jonny (bag),Bowser Jr.'s Fort,1
6c,Jonny (bag),Medieval Castlegrounds,1
6c,Jonny (bag),Big Nature City,0
6c,Jonny (bag),Fort Francis,1
6c,Jonny (bag),Color Wonderland,1
6c,Jonny (bag),Marble Towers,0
6c,Jonny (bag),Big Express City,0
6c,Jonny (bag),Flying Kingdom,0
6c,Jonny (bag),Strobenz Desert Illusion,0
6c,Jonny (bag),Infernal Pipeyard,0
6c,Jonny (bag),GBA Bowser Castle 4,1
6c,Jonny (bag),3DS Daisy Hills,0
Albatross,volumes,Bowser Jr.'s Fort,15
Albatross,volumes,Medieval Castlegrounds,12
Albatross,volumes,Big Nature City,12
Albatross,volumes,Fort Francis,6
Albatross,volumes,Color Wonderland,8
Albatross,volumes,Marble Towers,4
Albatross,volumes,Big Express City,12
Albatross,volumes,Flying Kingdom,12
Albatross,volumes,Strobenz Desert Illusion,3
Albatross,volumes,Infernal Pipeyard,2
Albatross,volumes,GBA Bowser Castle 4,10
Albatross,volumes,3DS Daisy Hills,10
Albatross,m1,Bowser Jr.'s Fort,6
Albatross,m1,Medieval Castlegrounds,6
Albatross,m1,Big Nature City,15
Albatross,m1,Fort Francis,15
Albatross,m1,Color Wonderland,10
Albatross,m1,Marble Towers,3
Albatross,m1,Big Express City,6
Albatross,m1,Flying Kingdom,2
Albatross,m1,Strobenz Desert Illusion,4
Albatross,m1,Infernal Pipeyard,15
Albatross,m1,GBA Bowser Castle 4,8
Albatross,m1,3DS Daisy Hills,15
Albatross,dr,Bowser Jr.'s Fort,3
Albatross,dr,Medieval Castlegrounds,2
Albatross,dr,Big Nature City,3
Albatross,dr,Fort Francis,10
Albatross,dr,Color Wonderland,2
Albatross,dr,Marble Towers,12
Albatross,dr,Big Express City,10
Albatross,dr,Flying Kingdom,4
Albatross,dr,Strobenz Desert Illusion,10
Albatross,dr,Infernal Pipeyard,10
Albatross,dr,GBA Bowser Castle 4,12
Albatross,dr,3DS Daisy Hills,2
Albatross,fan,Bowser Jr.'s Fort,4
Albatross,fan,Medieval Castlegrounds,3
Albatross,fan,Big Nature City,4
Albatross,fan,Fort Francis,12
Albatross,fan,Color Wonderland,12
Albatross,fan,Marble Towers,2
Albatross,fan,Big Express City,2
Albatross,fan,Flying Kingdom,6
Albatross,fan,Strobenz Desert Illusion,2
Albatross,fan,Infernal Pipeyard,4
Albatross,fan,GBA Bowser Castle 4,4
Albatross,fan,3DS Daisy Hills,4
Albatross,ETH4N (bag),Bowser Jr.'s Fort,0
Albatross,ETH4N (bag),Medieval Castlegrounds,0
Albatross,ETH4N (bag),Big Nature City,1
Albatross,ETH4N (bag),Fort Francis,0
Albatross,ETH4N (bag),Color Wonderland,0
Albatross,ETH4N (bag),Marble Towers,1
Albatross,ETH4N (bag),Big Express City,1
Albatross,ETH4N (bag),Flying Kingdom,1
Albatross,ETH4N (bag),Strobenz Desert Illusion,1
Albatross,ETH4N (bag),Infernal Pipeyard,1
Albatross,ETH4N (bag),GBA Bowser Castle 4,0
Albatross,ETH4N (bag),3DS Daisy Hills,1
Omega,Indy,Banished Keep,15
Omega,Indy,Starry Cityscape,6
Omega,Indy,Hell Pyramid,15
Omega,Indy,Rainbow Road: Solar Edition,10
Omega,Indy,3DS Bowser's Castle,15
Omega,Indy,Skyline Avenue,15
Omega,Indy,Lava Lake,10
Omega,Indy,Final Grounds,2
Omega,Indy,Strobenz Desert Illusion,12
Omega,Indy,The Rabbit Hole,6
Omega,Indy,DS Wario Stadium,15
Omega,Indy,3DS Rosalina's Ice World,15
Omega,Boshi,Banished Keep,8
Omega,Boshi,Starry Cityscape,15
Omega,Boshi,Hell Pyramid,6
Omega,Boshi,Rainbow Road: Solar Edition,15
Omega,Boshi,3DS Bowser's Castle,12
Omega,Boshi,Skyline Avenue,2
Omega,Boshi,Lava Lake,12
Omega,Boshi,Final Grounds,10
Omega,Boshi,Strobenz Desert Illusion,4
Omega,Boshi,The Rabbit Hole,8
Omega,Boshi,DS Wario Stadium,8
Omega,Boshi,3DS Rosalina's Ice World,6
Omega,Ice,Banished Keep,2
Omega,Ice,Starry Cityscape,4
Omega,Ice,Hell Pyramid,12
Omega,Ice,Rainbow Road: Solar Edition,8
Omega,Ice,3DS Bowser's Castle,10
Omega,Ice,Skyline Avenue,3
Omega,Ice,Lava Lake,3
Omega,Ice,Final Grounds,12
Omega,Ice,Strobenz Desert Illusion,6
Omega,Ice,The Rabbit Hole,3
Omega,Ice,DS Wario Stadium,6
Omega,Ice,3DS Rosalina's Ice World,8
Omega,scrimshaw,Banished Keep,6
Omega,scrimshaw,Starry Cityscape,2
Omega,scrimshaw,Hell Pyramid,4
Omega,scrimshaw,Rainbow Road: Solar Edition,6
Omega,scrimshaw,3DS Bowser's Castle,6
Omega,scrimshaw,Skyline Avenue,12
Omega,scrimshaw,Lava Lake,6
Omega,scrimshaw,Final Grounds,8
Omega,scrimshaw,Strobenz Desert Illusion,3
Omega,scrimshaw,The Rabbit Hole,4
Omega,scrimshaw,DS Wario Stadium,2
Omega,scrimshaw,3DS Rosalina's Ice World,4
Omega,Hintz (bag),Banished Keep,0
Omega,Hintz (bag),Starry Cityscape,1
Omega,Hintz (bag),Hell Pyramid,1
Omega,Hintz (bag),Rainbow Road: Solar Edition,1
Omega,Hintz (bag),3DS Bowser's Castle,0
Omega,Hintz (bag),Skyline Avenue,1
Omega,Hintz (bag),Lava Lake,1
Omega,Hintz (bag),Final Grounds,1
Omega,Hintz (bag),Strobenz Desert Illusion,0
Omega,Hintz (bag),The Rabbit Hole,1
Omega,Hintz (bag),DS Wario Stadium,1
Omega,Hintz (bag),3DS Rosalina's Ice World,0
Flag,callum,Banished Keep,10
Flag,callum,Starry Cityscape,8
Flag,callum,Hell Pyramid,10
Flag,callum,Rainbow Road: Solar Edition,4
Flag,callum,3DS Bowser's Castle,4
Flag,callum,Skyline Avenue,4
Flag,callum,Lava Lake,4
Flag,callum,Final Grounds,15
Flag,callum,Strobenz Desert Illusion,10
Flag,callum,The Rabbit Hole,15
Flag,callum,DS Wario Stadium,12
Flag,callum,3DS Rosalina's Ice World,2
Flag,End,Banished Keep,3
Flag,End,Starry Cityscape,12
Flag,End,Hell Pyramid,3
Flag,End,Rainbow Road: Solar Edition,12
Flag,End,3DS Bowser's Castle,3
Flag,End,Skyline Avenue,6
Flag,End,Lava Lake,2
Flag,End,Final Grounds,4
Flag,End,Strobenz Desert Illusion,15
Flag,End,The Rabbit Hole,12
Flag,End,DS Wario Stadium,10
Flag,End,3DS Rosalina's Ice World,12
Flag,Lawrence,Banished Keep,12
Flag,Lawrence,Starry Cityscape,10
Flag,Lawrence,Hell Pyramid,2
Flag,Lawrence,Rainbow Road: Solar Edition,2
Flag,Lawrence,3DS Bowser's Castle,2
