team,player,track,score
z¢,Zyra,N64 Sherbet Land,15
z¢,Zyra,Wii Dry Dry Ruins,4
z¢,Zyra,GBA Bowser Castle 3,2
z¢,Zyra,N64 Bowser's Castle,12
z¢,Zyra,Wii Wario's Gold Mine,6
z¢,Zyra,SNES Mario Circuit 3,12
z¢,Zyra,Wii Koopa Cape,8
z¢,Zyra,Wii Grumble Volcano,10
z¢,Zyra,Wii DK Summit,4
z¢,Zyra,Wii Rainbow Road,8
z¢,Zyra,GCN Waluigi Stadium,6
z¢,Zyra,DS Peach Gardens,4
z¢,Theodor,N64 Sherbet Land,10
z¢,Theodor,Wii Dry Dry Ruins,15
z¢,Theodor,GBA Bowser Castle 3,4
z¢,Theodor,N64 Bowser's Castle,2
z¢,Theodor,Wii Wario's Gold Mine,10
z¢,Theodor,SNES Mario Circuit 3,6
z¢,Theodor,Wii Koopa Cape,10
z¢,Theodor,Wii Grumble Volcano,3
z¢,Theodor,Wii DK Summit,12
z¢,Theodor,Wii Rainbow Road,12
z¢,Theodor,GCN Waluigi Stadium,4
z¢,Theodor,DS Peach Gardens,3
z¢,swig,N64 Sherbet Land,3
z¢,swig,Wii Dry Dry Ruins,3
z¢,swig,GBA Bowser Castle 3,3
z¢,swig,N64 Bowser's Castle,15
z¢,swig,Wii Wario's Gold Mine,12
z¢,swig,SNES Mario Circuit 3,3
z¢,swig,Wii Koopa Cape,15
z¢,swig,Wii Grumble Volcano,6
z¢,swig,Wii DK Summit,2
z¢,swig,Wii Rainbow Road,4
z¢,swig,GCN Waluigi Stadium,8
z¢,swig,DS Peach Gardens,12
z¢,Cormac,N64 Sherbet Land,2
z¢,Cormac,Wii Dry Dry Ruins,10
z¢,Cormac,GBA Bowser Castle 3,15
z¢,Cormac,N64 Bowser's Castle,3
z¢,Cormac,Wii Wario's Gold Mine,8
z¢,Cormac,SNES Mario Circuit 3,10
z¢,Cormac,Wii Koopa Cape,2
z¢,Cormac,Wii Grumble Volcano,12
