canonical_friend_code,friend_code,canonical_lounge_name,note
1122-7192-4807,1122-7192-4807,winter,s1 d1_2 Mι exact display/team match
1122-7192-4807,3441-9770-4735,winter,s1 d1_2 Mι exact display/team match
3270-1857-6611,3270-1857-6611,Momiji,s1 d1_2 TMNG exact display/team match
3270-1857-6611,3313-1562-7613,Momiji,s1 d1_2 TMNG exact display/team match
1380-3989-1797,1380-3989-1797,JC,s1 d1_2 sts exact display/team match
1380-3989-1797,2883-6434-3405,JC,s1 d1_2 sts exact display/team match
4043-2778-0097,4043-2778-0097,Ice,s1 d1_2 Ω exact display/team match
4043-2778-0097,0263-7077-1962,Ice,s1 d1_2 Ω exact display/team match
5417-6896-6515,5417-6896-6515,JakeUS,s1 d3 SN exact display/team match
5417-6896-6515,1337-4659-4887,JakeUS,s1 d3 SN exact display/team match
4258-0484-4356,4258-0484-4356,Arthur Morgan,s1 d3 fr exact display/team match
4258-0484-4356,2067-6136-4216,Arthur Morgan,s1 d3 fr exact display/team match
2969-5580-6877,2969-5580-6877,lord,s1 d3 fr exact display/team match
2969-5580-6877,4515-7256-2974,lord,s1 d3 fr exact display/team match
5159-9900-0109,5159-9900-0109,coop,s1 d4 μ exact display/team match
5159-9900-0109,5159-9919-9515,coop,s1 d4 μ exact display/team match
3227-2287-3933,3227-2287-3933,DASEIA,s2 d1 sσρ exact display/team match
3227-2287-3933,4773-4468-0050,DASEIA,s2 d1 sσρ exact display/team match
2883-6411-3991,2883-6411-3991,mhs,s2 d1 exact display/team match
2883-6411-3991,4644-5974-4267,mhs,s2 d1 exact display/team match
0220-7722-0770,0220-7722-0770,Tectrox,s2 d4 St exact display/team match
0220-7722-0770,4644-5845-5846,Tectrox,s2 d4 St exact display/team match
0220-7770-0220,0220-7770-0220,sog,s2 d4 St exact display/team match
0220-7770-0220,3914-4444-3391,sog,s2 d4 St exact display/team match
0220-7770-0220,1122-7222-7777,sog,s2 d4 St exact display/team match
0220-7770-0220,3313-1533-5333,sog,s2 d4 St exact display/team match
3527-8828-8735,3527-8828-8735,ardux,s2 d5 Nω exact display/team match
3527-8828-8735,5202-9255-2039,ardux,s2 d5 Nω exact display/team match
1595-1415-3310,1595-1415-3310,smu,s2 d5 Nω exact display/team match
1595-1415-3310,2582-9846-8730,smu,s2 d5 Nω exact display/team match
3055-4419-7075,3055-4419-7075,mike,s1-s3 exact lounge name and flag continuity
3055-4419-7075,0564-3778-1101,mike,s1-s3 exact lounge name and flag continuity
1509-2597-3019,1509-2597-3019,Dragonfly99,s1-s2 exact lounge name flag team and Mii continuity
1509-2597-3019,2540-0360-8159,Dragonfly99,s1-s2 exact lounge name flag team and Mii continuity
4043-2944-1210,4043-2944-1210,Ivan,owner-confirmed s1-s3 identity continuity
4043-2944-1210,3871-5056-8304,Ivan,owner-confirmed s1-s3 identity continuity
1938-7576-8064,1938-7576-8064,kyzui,owner-confirmed kyzui SIX FIVE HTN identity
1938-7576-8064,2926-6126-9292,kyzui,owner-confirmed kyzui SIX FIVE HTN identity
1981-7080-7744,1981-7080-7744,Flavian,owner-confirmed s1-s3 identity continuity
1981-7080-7744,3098-4111-1001,Flavian,owner-confirmed s1-s3 identity continuity
3141-3583-8311,3141-3583-8311,scuttlebug,owner-confirmed scuttlebug Parvati Shallow identity
3141-3583-8311,5031-1476-0709,scuttlebug,owner-confirmed scuttlebug Parvati Shallow identity
4816-3694-6844,4816-3694-6844,season,owner-confirmed s2-s3 identity continuity
4816-3694-6844,3012-5129-6240,season,owner-confirmed s2-s3 identity continuity
